Body Id,Platform,Primer Color,Topcoat Color,Topcoat Last Used,Ambient Humidity,Ambient Temperature,Paint Temperature,Paint Pressure,Electrical Resistivity,Paint Viscosity,Basecoat Humidity,Basecoat Temperature,Clearcoat Humidity,Clearcoat Temperature,Engine Run Number,Primer Applied,Dust Defect
VNA6L51118,BLR,MK01,BK16,5,71.2289276,19.1245155,25.7999992,6.38202238,607,41.35,70.97276306,24.86057281,71.9649811,24.98703,1,0,0
ARA6L52149,LTV,MK01,BK16,3,71.1965027,19.0920906,25.2999992,6.31910133,607,41.35,70.97276306,24.86057281,72.1595383,24.98703,1,0,0
VPA6L14212,BLRPICKUP,MK01,BK16,3,70.4604416,19.1245155,24.7999992,6.34606743,607,41.35,69.59468842,24.86057281,71.9033737,24.98703,1,0,1
ARA6L52137,LTV,MK01,BK16,2,70.781456,19.1245155,25.2999992,6.43595505,607,41.35,64.94812012,24.86057281,71.9357986,24.98703,1,0,0
ARA6L52152,LTV,MK01,BK16,1,71.1348953,19.0920906,25.8999996,6.31460667,607,41.35,64.94812012,24.86057281,71.8385239,25.019455,1,0,0
VNA6L51092,BLR,MK01,BK16,2,71.3586273,19.0272369,26.2999992,6.42022467,607,41.35,63.92347717,24.86057281,71.8709488,25.0518837,1,0,0
VNA6L50970,BLR,MK01,BK16,2,71.1640778,18.9656296,26.2999992,6.50337076,607,41.35,63.92347717,24.86057281,72.2535706,24.98703,1,0,0
VPA6L14213,BLRPICKUP,MK01,BK16,2,70.781456,18.9007797,25.8999996,6.37977552,607,41.35,63.92347717,24.86057281,71.9033737,24.98703,1,0,0
VNA6L51076,BLR,MK01,BK16,2,70.1394348,19.0272369,25.5,6.25168562,607,41.35,63.92347717,24.86057281,71.6472168,24.98703,1,0,0
AWA6L11134,W207,MK09,BK11,1084,69.7243881,19.0920906,25.2000008,6.38426971,607,41.35,63.92347717,24.86057281,72.0946884,24.98703,3,1,0
VNA6L51032,BLR,MK08,BK12,22,69.5622559,19.0920906,24.8999996,6.30112362,607,41.35,62.89883423,24.86057281,71.8709488,24.9546051,1,1,0
AWA6L11105,W207,MK09,BK11,4,68.8262024,19.1245155,25.1000004,6.41123581,607,41.35,62.2276268,25.7263298,72.1919632,25.019455,1,1,1
VNA6L51033,BLR,MK08,BK12,4,68.8262024,19.1569405,26.2999992,6.2449441,607,41.35,62.2276268,25.7263298,71.8709488,24.98703,1,1,0
VMA6L61236,BLR,PK02,BK16,11,68.8586273,19.1569405,26.2999992,6.31460667,607,41.35,61.19974136,25.7263298,72.2243881,24.98703,1,1,0
U3A6L38567,U301,PK02,BK01,42,68.8910522,19.1893654,26.1000004,6.33707857,607,41.35,61.19974136,25.7263298,72.3508453,25.019455,1,1,0
AWA6L11108,W207,PK02,BK07,2595,69.1796417,19.1569405,25.2999992,6.24943829,607,41.35,61.19974136,25.7263298,72.2535706,25.019455,1,1,1
U3A6L38566,U301,PK02,BK01,7,69.8508453,19.1569405,24.7999992,6.19550562,607,41.35,60.17509842,25.7263298,72.4481201,25.019455,1,1,1
AWA6L11141,W207,MK08,BK12,13,69.8832703,19.1569405,25.2999992,6.35280895,607,41.35,60.17509842,25.7263298,71.7088242,25.019455,1,1,0
ARA6L20164,MPV,PK02,BK08,1078,69.8832703,19.2217903,25.8999996,6.29213476,607,41.35,60.17509842,25.7263298,72.3508453,24.98703,2,1,0
AWA6L11136,W207,PK02,BK07,9,69.5006485,19.2542152,26.2000008,6.31235981,607,41.35,60.17509842,25.7263298,72.0622559,25.019455,1,1,0
AWA6L11106,W207,PK02,BK07,2,69.5298309,19.2542152,25.8999996,6.22022486,607,41.35,60.17509842,26.75097275,72.0946884,25.0843086,1,1,0
U3A6L38563,U301,PK02,BK01,10,69.4357986,19.2834015,25.5,6.316854,607,41.35,60.17509842,26.75097275,72.3184204,24.98703,1,1,1
ARA6L52113,LTV,MK01,BK16,20,69.4357986,19.3158264,25.2000008,6.2449441,607,41.35,60.17509842,26.75097275,72.1595383,25.0518837,1,0,0
VPA6L14219,BLRPICKUP,MK01,BK16,2,69.5946884,19.3482513,25,6.30112362,607,41.35,59.15045547,26.75097275,72.2535706,25.019455,1,0,0
VNA6L51196,BLR,MK01,BK16,2,69.1796417,19.3806763,24.7999992,6.28539324,607,41.35,59.15045547,26.75097275,72.1919632,25.0518837,1,0,0
ARA6L20108,MPV,MK01,BK16,3,68.9850845,19.477951,26.2000008,6.3505621,607,41.35,59.15045547,26.75097275,72.5097275,25.019455,1,1,0
AWA6L11139,W207,MK08,BK12,19,68.6997452,19.510376,26.2999992,6.20898867,607,41.35,59.15045547,26.75097275,72.2243881,24.98703,1,1,0
AWA6L11142,W207,MK08,BK12,2,68.505188,19.5719872,26,6.40898895,607,41.35,59.15045547,26.75097275,72.6718597,25.0518837,1,1,0
VMA6L61136,BLR,PK02,BK05,77,68.5700378,19.5719872,25.6000004,6.27415752,607,41.35,59.15045547,26.75097275,72.3508453,25.019455,1,1,0
U3A6L38574,U301,PK02,BK01,16,68.5376129,19.6044121,25.5,6.366292,607,41.35,59.15045547,26.75097275,72.3508453,24.98703,1,1,0
U3A6L38556,U301,PK02,BK13,83,68.6673203,19.5719872,24.8999996,6.42696619,607,41.35,59.15045547,26.75097275,72.2859955,25.019455,1,1,0
AWA6L11140,W207,MK08,BK12,8,68.7613525,19.5719872,24.7999992,6.36404514,607,41.35,59.15045547,26.75097275,72.6394348,25.019455,1,1,0
VNA6L51027,BLR,MK08,BK12,2,68.7937775,19.6044121,25.8999996,6.35505629,607,41.35,59.15045547,26.75097275,72.3832703,24.98703,1,1,1
VNA6L51025,BLR,MK08,BK12,4,68.6997452,19.6044121,26.1000004,6.39550591,607,41.35,59.15045547,26.75097275,72.4481201,24.98703,1,1,1
VNA6L51036,BLR,MK08,BK12,1,68.6673203,19.6044121,25.8999996,6.31235981,607,41.35,59.15045547,26.75097275,72.8955917,24.98703,1,1,0
G4A6L00017,MAHINDRAG4,MK08,BK12,2,68.505188,19.7016869,25.6000004,6.44044971,607,41.35,59.15045547,27.77561951,72.6070099,24.98703,1,1,0
VNA6L50836,BLR,MK08,BK12,3,68.2490311,19.7665367,25.1000004,6.39775276,607,41.35,59.15045547,27.77561951,72.765892,24.9546051,1,1,1
VNA6L51034,BLR,MK08,BK12,4,67.7691345,19.9254227,24.7999992,6.39325857,607,41.35,60.17509842,27.77561951,72.765892,25.019455,1,1,0
VNA6L51038,BLR,MK08,BK12,3,67.5453949,20.0551262,26.2000008,6.32134819,607,41.35,60.88197327,27.96692657,72.9280167,25.0518837,1,1,0
VNA6L51004,BLR,MK01,BK16,43,65.2042847,20.5998726,25,6.3887639,607,41.35,60.88197327,27.96692657,73.0252914,25.0843086,1,0,0
VNA6L51185,BLR,MK01,BK16,2,64.6627808,20.6939049,26.2000008,6.47865152,607,41.35,60.88197327,27.96692657,72.8631668,25.019455,1,0,0
VNA6L51176,BLR,MK01,BK16,10,62.130352,21.1738014,25,6.35955048,607,41.35,61.90661621,27.96692657,73.0252914,24.98703,1,0,0
VNA6L51007,BLR,MK01,BK16,2,61.5531807,21.2710762,24.7999992,6.267416,607,41.35,61.90661621,27.96692657,72.9928665,25.019455,1,0,0
U3A6L38568,U301,PK02,BK01,54,60.654995,21.5272369,26.2999992,6.2382021,607,41.35,59.79248047,27.96692657,73.0869064,25.019455,1,1,0
VMA6L61134,BLR,PK02,BK05,56,60.654995,21.5920906,26.2999992,6.40674162,607,41.35,59.79248047,27.96692657,72.6718597,25.019455,1,1,0
G4A6L00023,MAHINDRAG4,PK02,BK32,1188,60.0778236,21.6569405,26.1000004,6.4494381,607,41.35,59.79248047,27.96692657,72.8631668,25.0843086,1,1,0
VMA6L61135,BLR,PK02,BK05,5,59.7276268,21.8482513,25.6000004,6.33707857,607,41.35,59.79248047,27.96692657,72.9280167,25.019455,1,1,1
U3A6L38570,U301,PK02,BK01,8,59.1180305,21.9455261,25.2000008,6.30337095,607,41.35,59.79248047,27.96692657,72.7042847,25.0518837,1,1,0
U3A6L38569,U301,PK02,BK01,3,58.638134,22.1044121,24.7999992,6.25168562,607,41.35,58.76459503,27.96692657,72.5097275,25.019455,1,1,0
AWA6L11148,W207,MK08,BK12,42,58.9267197,22.136837,24.8999996,6.31460667,607,41.35,58.76459503,27.96692657,72.9604416,25.019455,1,1,0
AWA6L11119,W207,MK09,BK11,108,57.6750984,22.4578476,26.2000008,5.75280905,607,41.35,58.76459503,27.96692657,73.1841812,25.0843086,2,1,0
AWA6L11163,W207,MK09,BK11,2,56.8417664,22.6167336,26.2000008,6.3438201,607,41.35,58.76459503,28.99481201,69.8508453,25.4701691,1,1,0
VNA6L51367,BLR,MK08,BK12,7,56.5239983,22.8080444,25.8999996,6.30786514,607,41.35,58.76459503,28.99481201,69.2120667,25.3080444,2,1,0
AWA6L11157,W207,MK09,BK11,6,55.9143982,23.0350227,25.2000008,6.2382021,607,41.35,56.71530533,28.99481201,68.8262024,25.1491585,1,1,1
VNA6L51035,BLR,MK08,BK12,6,56.2354088,22.9377441,24.8999996,6.28089905,607,41.35,56.71530533,28.99481201,68.6997452,25.0843086,1,1,0
VNA6L51373,BLR,PK02,BK01,16,56.6180305,22.8728943,24.8999996,6.21797752,607,41.35,57.73994827,28.99481201,68.505188,25.019455,1,1,0
AWA6L11154,W207,MK09,BK11,8,56.29702,23.0642052,26.6000004,6.2831459,607,41.35,56.71530533,28.99481201,68.9559021,24.98703,1,1,1
VNA6L51369,BLR,PK02,BK01,6,55.6906624,23.2587547,26.2999992,6.29662943,607,41.35,55.5933876,28.99481201,69.2120667,25.019455,1,1,0
AWA6L11149,W207,MK09,BK11,6,55.1783409,23.5149155,25.7999992,6.18202257,607,41.35,54.56874466,28.99481201,69.5946884,24.98703,1,1,0
AWA6L11143,W207,MK08,BK12,13,55.3696518,23.5149155,25.7000008,6.18202257,607,41.35,54.56874466,28.99481201,69.5622559,24.9546051,1,1,1
AWA6L11190,W207,MK09,BK11,4,55.3372269,23.5797691,25.2000008,6.3438201,607,41.35,54.56874466,28.99481201,70.1070099,24.98703,1,1,0
G4A6L00009,MAHINDRAG4,MK08,BK12,8,54.1504555,23.8975372,25.6000004,6.24943829,607,41.35,53.54410172,28.99481201,69.7243881,25.0518837,1,1,1
